generation,total_predators,total_energy,avg_speed,avg_size,avg_reproduction_threshold,total_speed,total_size,total_reproduction_threshold,avg_energy
103,1,14.636782,1.5,1,0,1.5,1,0,14.636782
104,1,14.486782,1.5,1,0,1.5,1,0,14.486782
105,1,14.336782,1.5,1,0,1.5,1,0,14.336782
106,1,14.186783,1.5,1,0,1.5,1,0,14.186783
107,1,14.036783,1.5,1,0,1.5,1,0,14.036783
108,1,13.886784,1.5,1,0,1.5,1,0,13.886784
109,1,13.736784,1.5,1,0,1.5,1,0,13.736784
110,1,15.431682,1.5,1,0,1.5,1,0,15.431682
111,1,15.281682,1.5,1,0,1.5,1,0,15.281682
112,1,15.131682,1.5,1,0,1.5,1,0,15.131682
113,1,14.981683,1.5,1,0,1.5,1,0,14.981683
114,1,14.831683,1.5,1,0,1.5,1,0,14.831683
115,1,14.681684,1.5,1,0,1.5,1,0,14.681684
116,1,14.531684,1.5,1,0,1.5,1,0,14.531684
117,1,14.381684,1.5,1,0,1.5,1,0,14.381684
118,1,14.231685,1.5,1,0,1.5,1,0,14.231685
119,1,14.081685,1.5,1,0,1.5,1,0,14.081685
120,1,15.578474,1.5,1,0,1.5,1,0,15.578474
121,1,15.428474,1.5,1,0,1.5,1,0,15.428474
122,1,15.278475,1.5,1,0,1.5,1,0,15.278475
123,1,15.128475,1.5,1,0,1.5,1,0,15.128475
124,1,14.978476,1.5,1,0,1.5,1,0,14.978476
125,1,14.828476,1.5,1,0,1.5,1,0,14.828476
126,1,14.678476,1.5,1,0,1.5,1,0,14.678476
127,1,14.528477,1.5,1,0,1.5,1,0,14.528477
128,1,14.378477,1.5,1,0,1.5,1,0,14.378477
129,1,14.2284775,1.5,1,0,1.5,1,0,14.2284775
130,1,14.078478,1.5,1,0,1.5,1,0,14.078478
131,1,13.928478,1.5,1,0,1.5,1,0,13.928478
132,1,13.778479,1.5,1,0,1.5,1,0,13.778479
133,1,13.628479,1.5,1,0,1.5,1,0,13.628479
134,1,13.478479,1.5,1,0,1.5,1,0,13.478479
135,1,14.923634,1.5,1,0,1.5,1,0,14.923634
136,1,14.773634,1.5,1,0,1.5,1,0,14.773634
137,1,14.623634,1.5,1,0,1.5,1,0,14.623634
138,1,14.473635,1.5,1,0,1.5,1,0,14.473635
