generation,total_organisms,total_energy,avg_speed,avg_size,avg_reproduction_threshold,total_speed,total_size,total_reproduction_threshold,avg_energy
58,5939,21991.58,0.92694914,1.2169427,4.804525,5505.151,7227.423,28534.074,3.7029097
59,6623,24312.557,0.9264837,1.2175459,4.801344,6136.1016,8063.8066,31799.3,3.670928
60,7343,26883.22,0.92587894,1.2182105,4.791718,6798.729,8945.319,35185.586,3.6610677
61,8143,29695.22,0.924141,1.2187599,4.7827907,7525.2803,9924.362,38946.266,3.6467175
62,9004,32779.773,0.9235242,1.2197826,4.7762737,8315.412,10982.923,43005.57,3.640579
63,9913,36144.035,0.92165273,1.221352,4.7714133,9136.344,12107.262,47299.02,3.6461248
64,10907,39806.324,0.9214413,1.2223734,4.7651567,10050.16,13332.426,51973.563,3.6496127
65,12003,43766.832,0.9213318,1.2233052,4.7605863,11058.746,14683.333,57141.316,3.6463244
66,13278,48049.055,0.921037,1.2239015,4.7536383,12229.529,16250.965,63118.81,3.6186967
67,14623,52664.98,0.91956127,1.2248996,4.7476277,13446.744,17911.707,69424.56,3.6015167
68,16109,57480.168,0.91831166,1.2256732,4.7407765,14793.082,19744.37,76369.17,3.568202
69,17582,62642.95,0.9176887,1.2269962,4.7336435,16134.803,21573.047,83226.92,3.5629025
70,19132,68097.25,0.91684383,1.2276702,4.7303476,17541.057,23487.785,90501.01,3.5593379
71,20768,73584.59,0.9163068,1.2288904,4.7260714,19029.86,25521.596,98151.055,3.543172
72,22445,79419.52,0.91489834,1.2301694,4.7240095,20534.893,27611.152,106030.4,3.5384061
73,24262,85249.35,0.9144512,1.2315558,4.7200203,22186.414,29880.006,114517.13,3.5136983
74,26113,91009.44,0.91404605,1.2322853,4.717484,23868.484,32178.666,123187.66,3.4852157
75,27886,97263.6,0.9133033,1.2329458,4.7152953,25468.377,34381.926,131490.72,3.4879007
76,29798,103620.21,0.9126898,1.2332778,4.714351,27196.33,36749.21,140478.23,3.4774218
77,31714,109958.79,0.911483,1.2344714,4.7126665,28906.771,39150.027,149457.5,3.4672003
78,33604,116132.47,0.9107643,1.2352269,4.713699,30605.322,41508.563,158399.14,3.455912
79,35514,121883.6,0.9100751,1.235557,4.7146873,32320.408,43879.57,167437.4,3.4319875
80,37287,127996.5,0.9099224,1.2357485,4.7178946,33928.277,46077.355,175916.14,3.432738
81,39132,133918.17,0.90931875,1.2361052,4.718545,35583.46,48371.27,184646.1,3.4222164
82,40948,140099.66,0.9082522,1.2364134,4.718498,37191.11,50628.656,193213.06,3.4214041
83,42793,145913.38,0.90717494,1.2366948,4.7201915,38820.74,52921.883,201991.16,3.4097488
84,44489,151535.16,0.9064402,1.2368819,4.721438,40326.617,55027.637,210052.06,3.4061263
85,46191,156963.05,0.90576494,1.2372038,4.7247453,41838.188,57147.68,218240.7,3.3981304
86,47829,162360.7,0.9051397,1.2379323,4.7280555,43291.926,59209.063,226138.16,3.394608
87,49484,167206.81,0.9045843,1.2386291,4.7310033,44762.45,61292.32,234108.97,3.3790076
88,50877,171874.47,0.90394306,1.2391608,4.7340903,45989.91,63044.78,240856.31,3.378235
89,52265,176089.36,0.9032588,1.2399179,4.737065,47208.82,64804.31,247582.69,3.369164
90,53586,180203.47,0.90272003,1.2408283,4.74118,48373.156,66491.02,254060.86,3.3628833
91,54919,184021.34,0.90208685,1.2413758,4.744618,49541.707,68175.12,260569.67,3.3507774
92,56126,187462.64,0.9018362,1.2419502,4.7484884,50616.46,69705.695,266513.66,3.340032
93,57175,190962.05,0.9014847,1.2428812,4.754027,51542.39,71061.734,271811.5,3.339957
94,58221,194027.66,0.9011139,1.2437977,4.757683,52463.754,72415.14,276997.06,3.332606
95,59154,197136.17,0.9007219,1.2444961,4.761662,53281.305,73616.92,281671.34,3.3325925
96,60169,199599.16,0.90001106,1.2454629,4.764239,54152.766,74938.26,286659.5,3.317309
97,61040,201965,0.8994365,1.246374,4.76819,54901.6,76078.67,291050.3,3.308732
98,61827,204445.67,0.8988465,1.2473371,4.771609,55572.984,77119.11,295014.25,3.3067377
99,62727,206778.53,0.898314,1.2481142,4.7739973,56348.543,78290.46,299458.53,3.2964838
100,63607,208587.81,0.89768696,1.2493435,4.775372,57099.176,79466.99,303747.1,3.2793217
101,64279,210290.55,0.8968177,1.2503816,4.778483,57646.543,80373.28,307156.1,3.271528
102,64919,212401.25,0.8958864,1.2511536,4.780583,58160.05,81223.64,310350.66,3.2717886
103,65772,214235.44,0.89546037,1.2522782,4.7819257,58896.22,82364.84,314516.8,3.2572439
104,66536,216021.1,0.89460653,1.2532943,4.783019,59523.54,83389.195,318242.97,3.2466798
105,67277,217240.44,0.8931671,1.2548052,4.7839108,60089.6,84419.53,321847.16,3.2290447
106,67834,218878.4,0.8922944,1.2559754,4.786496,60527.9,85197.836,324687.2,3.226677
107,68478,219754.02,0.89107615,1.2568588,4.788666,61019.113,86067.18,327918.25,3.2091184
108,69057,220933.33,0.89038247,1.2577783,4.7912683,61487.14,86858.4,330870.63,3.1992893
109,69603,221167.81,0.889299,1.2592906,4.793854,61897.875,87650.4,333666.63,3.1775615
110,69965,221497.86,0.8877087,1.260673,4.79802,62108.54,88202.99,335693.47,3.165838
111,70319,221707,0.88656396,1.2616509,4.8013,62342.29,88718.03,337622.63,3.1528747
112,70570,221897.9,0.88586164,1.2621588,4.80449,62515.254,89070.55,339052.88,3.144366
113,70892,221830.8,0.8846866,1.2631066,4.807205,62717.203,89544.15,340792.38,3.1291373
114,71174,221346.9,0.88308334,1.264251,4.8101416,62852.574,89981.8,342357,3.1099405
115,71226,221183.84,0.88204664,1.2653791,4.8140144,62824.652,90127.89,342883,3.1053808
116,71395,220790.3,0.88130057,1.2658883,4.8178835,62920.453,90378.09,343972.78,3.0925176
117,71597,220425.61,0.87998205,1.2671121,4.8205786,63004.074,90721.43,345138.97,3.0786989
118,71815,219710.08,0.87853014,1.2681489,4.823805,63091.64,91072.11,346421.56,3.0593898
119,71911,218939.11,0.8773341,1.2693297,4.8268147,63089.973,91278.766,347101.06,3.0445845
120,72015,218504.86,0.87623227,1.2703763,4.8285584,63101.867,91486.15,347728.63,3.0341575
121,72199,217908.25,0.8748121,1.2714969,4.828667,63160.563,91800.805,348624.94,3.0181615
122,72314,217334.73,0.87355256,1.2726274,4.829066,63170.08,92028.77,349209.06,3.005431
123,72477,216860.95,0.8725233,1.2735068,4.8300676,63237.87,92299.95,350068.8,2.9921348
124,72729,216153.39,0.8709948,1.2747153,4.829713,63346.582,92708.77,351260.2,2.9720385
125,72928,215391.6,0.869241,1.2759815,4.828881,63392.008,93054.78,352160.63,2.9534829
126,73057,215073.34,0.8678625,1.2770351,4.827525,63403.434,93296.35,352684.5,2.9439116
127,73371,214153.69,0.866163,1.2781273,4.826018,63551.246,93777.48,354089.75,2.9187784
128,73485,213515.28,0.863929,1.2792813,4.826726,63485.82,94007.984,354691.97,2.9055629
129,73655,212767.9,0.86187905,1.2807359,4.8249784,63481.703,94332.6,355383.78,2.8887095
130,73792,211867.98,0.859921,1.2818043,4.8241315,63455.29,94586.91,355982.3,2.8711512
131,73926,210456.7,0.8582737,1.2830102,4.824694,63448.742,94847.81,356670.34,2.8468564
132,73811,209301.38,0.85607666,1.283806,4.8267937,63187.875,94759,356270.47,2.8356392
133,73809,207721.03,0.8536252,1.2849458,4.8276267,63005.22,94840.57,356322.3,2.8143048
134,73676,206240.45,0.8505778,1.2859418,4.82929,62667.168,94743.05,355802.75,2.7992895
135,73580,204443.4,0.8474012,1.2870948,4.830844,62351.78,94704.44,355453.5,2.7785187
136,73359,202662.19,0.8441119,1.2881778,4.83323,61923.207,94499.44,354560.9,2.7626083
137,73101,200503.44,0.8408048,1.2889549,4.835292,61463.67,94223.89,353464.7,2.7428277
138,72785,198611.48,0.83751065,1.2900637,4.836796,60958.21,93897.29,352046.2,2.728742
139,72439,196838.19,0.83460736,1.2908623,4.838271,60458.12,93508.77,350479.53,2.7172956
140,72151,195516.14,0.8313731,1.2919302,4.838697,59984.4,93214.055,349116.8,2.7098188
141,72089,194274.53,0.8282652,1.2930473,4.837206,59708.81,93214.484,348709.34,2.6949263
142,72093,192741.03,0.8253023,1.2940949,4.8343477,59498.52,93295.19,348522.63,2.6735055
143,72010,191628.31,0.82208943,1.2951481,4.831453,59198.66,93263.62,347912.9,2.6611347
144,72039,190563.4,0.81880647,1.2962502,4.828529,58986,93380.57,347842.4,2.645281
145,72016,189627.8,0.8160113,1.2971697,4.8248,58765.87,93416.97,347462.78,2.6331344
146,72105,188946.89,0.81314075,1.2979937,4.8208256,58631.516,93591.836,347605.63,2.620441
147,72280,188494.05,0.8099321,1.298732,4.8158417,58541.895,93872.35,348089.03,2.6078312
148,72533,187731.81,0.8073101,1.2995017,4.810587,58556.625,94256.76,348926.3,2.5882263
149,72626,187406.39,0.8041073,1.3001511,4.8057857,58399.098,94424.77,349025,2.5804312
150,72828,186785.97,0.80142874,1.3009715,4.8000493,58366.453,94747.16,349578,2.564755
151,72910,186502.39,0.7981825,1.3020164,4.795678,58195.484,94930.016,349652.9,2.557981
152,73089,186226,0.7952914,1.3030201,4.790644,58127.055,95236.44,350143.38,2.5479348
153,73259,185600.19,0.79269207,1.3039184,4.786067,58071.83,95523.76,350622.47,2.5334797
154,73404,185124.58,0.7895374,1.3048562,4.781384,57955.203,95781.664,350972.72,2.5219958
155,73466,184745.75,0.7862182,1.3064101,4.7785053,57760.31,95976.73,351057.66,2.514711
156,73548,184220.31,0.7826555,1.308082,4.7759895,57562.746,96206.81,351264.47,2.5047631
157,73593,183717.72,0.7794757,1.3094467,4.7723527,57363.953,96366.11,351211.75,2.496402
158,73564,183255.66,0.7764508,1.3104217,4.771206,57118.83,96399.86,350989,2.491105
159,73567,182643.8,0.7729499,1.3120984,4.769081,56863.605,96527.14,350847,2.4826865
160,73538,182221.23,0.76902145,1.3132817,4.7664146,56552.3,96576.11,350512.6,2.4779193
161,73562,181425.63,0.76532125,1.3148303,4.7638073,56298.563,96721.55,350435.2,2.4662955
162,73412,181094.27,0.76185495,1.3164773,4.7633934,55929.297,96645.234,349690.25,2.466821
163,73379,180577.81,0.7574978,1.3184513,4.7609034,55584.43,96746.63,349350.34,2.4608922
164,73282,180256.47,0.7533986,1.320112,4.757374,55210.555,96740.445,348629.88,2.4597645
165,73252,179871.42,0.7490492,1.3220956,4.755357,54869.35,96846.15,348339.4,2.4555156
166,73232,179276.28,0.74480593,1.3239073,4.751747,54543.63,96952.375,347979.94,2.4480593
167,73111,178970.73,0.7403686,1.3261275,4.7502575,54129.09,96954.51,347296.06,2.4479318
168,73091,178531.11,0.73630846,1.3279521,4.7471337,53817.523,97061.35,346972.75,2.4425867
169,73012,178218.88,0.73182595,1.3297616,4.7444034,53432.074,97088.555,346398.38,2.4409533
170,72934,177896.64,0.7274009,1.3319407,4.740853,53052.258,97143.76,345769.34,2.4391456
171,72866,177903.28,0.7226857,1.334373,4.7370033,52659.215,97230.42,345166.5,2.4415128
172,72870,177647.7,0.7181962,1.3365122,4.73296,52334.957,97391.64,344890.8,2.4378717
173,72799,177443.38,0.7140429,1.3385452,4.729884,51981.61,97444.75,344330.84,2.4374425
174,72746,176932.02,0.7096198,1.3404784,4.727486,51622.004,97514.445,343905.72,2.432189
175,72581,176672.05,0.7045441,1.3428744,4.726746,51136.516,97467.164,343071.97,2.4341364
176,72418,176431.8,0.69998753,1.3451762,4.7248397,50691.695,97414.97,342163.44,2.4362977
177,72338,176327.56,0.6950936,1.3476177,4.723229,50281.68,97483.97,341668.94,2.437551
178,72210,176062.64,0.6904677,1.3500929,4.7203574,49858.67,97490.21,340857,2.438203
179,72087,175934.9,0.68536323,1.3530558,4.7176566,49405.78,97537.734,340081.72,2.4405913
180,71975,175756.1,0.68069535,1.3557523,4.7153144,48993.047,97580.27,339384.75,2.4419048
181,71775,175563.42,0.67566824,1.358273,4.7137933,48496.086,97490.05,338332.5,2.4460247
182,71683,175330.03,0.67039984,1.3608946,4.710855,48056.273,97553.01,337688.22,2.445908
183,71517,175035.39,0.6655042,1.3635945,4.708809,47594.867,97520.19,336759.88,2.4474654
184,71265,174734.11,0.660325,1.3664453,4.706094,47058.063,97379.73,335379.78,2.4518924
185,71100,174559.08,0.6546662,1.3697774,4.7043185,46546.766,97391.17,334477.03,2.4551206
186,70933,174637.53,0.649013,1.3733597,4.7016087,46036.438,97416.52,333499.22,2.4620068
187,70903,174336.27,0.6439018,1.3763111,4.6976967,45654.57,97584.586,333080.78,2.4587996
188,70724,174487.8,0.6386878,1.3797659,4.695017,45170.555,97582.56,332050.38,2.4671652
189,70650,174676.3,0.63326466,1.3833023,4.691858,44740.15,97730.31,331479.75,2.4724176
190,70682,174812.3,0.6277717,1.3864664,4.686263,44372.156,97998.22,331234.44,2.4732223
191,70685,174769.83,0.6225918,1.3889476,4.680875,44007.902,98177.76,330867.63,2.4725165
192,70584,175070.88,0.61723524,1.3918762,4.676634,43566.934,98244.19,330095.53,2.4803195
193,70554,175139.95,0.61184883,1.3953947,4.673867,43168.383,98450.68,329760.03,2.4823532
